year,state,district,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2018,OH,1,541695,262456,279239,740979,528785,169452,33094,26112,496867,106422,73785,740979,45892,103031,88864,93479,54385,45191,566639,533387,111917,294505,22480,13352,25255,25018,34345,52937,36309,45018,17928,21863
2018,OH,10,552514,263435,289079,725301,553451,138294,23081,21916,495831,85403,68091,725301,49302,97897,83722,87678,50052,47511,566809,535069,128971,300596,23726,17056,28348,29971,40952,53824,37860,37724,17482,13653
2018,OH,11,524803,238090,286713,678001,269493,375634,22106,29751,470989,76213,60806,678001,48652,96713,74722,81620,48415,49641,538929,510667,119878,304410,47543,23243,37839,32119,39926,44174,29563,25967,9033,15003
2018,OH,12,585940,290618,295322,789634,683722,51991,45352,20689,540057,145074,84861,789634,49176,103870,105548,106110,52157,48896,607397,577539,123476,293383,14358,9618,18941,18970,33047,48614,42205,51016,26029,30585
2018,OH,13,559931,268927,291004,707603,580914,98895,18069,26042,491864,72866,43765,707603,54746,90885,79058,88357,49159,51915,569647,535048,132490,298600,23766,17806,38012,32313,42504,57283,35345,34413,11259,5899
2018,OH,14,553668,266077,287591,720551,649331,42840,20126,23393,512870,116227,72958,720551,38312,77594,82695,97898,53257,55878,566895,544494,145548,286240,10916,9001,20427,23274,36578,49421,41611,50160,21471,23381
2018,OH,15,586092,292487,293605,759569,679312,47413,23990,17367,528142,104650,68601,759569,48682,108139,100774,99672,49983,48801,598278,566013,120773,290228,15057,10501,26046,26718,36390,51196,41158,50574,18669,13919
2018,OH,16,553316,269087,284229,719864,662093,28842,21512,16943,512952,113913,67750,719864,36763,86088,81847,93672,54688,50920,565058,540435,145737,287919,9415,8715,21870,24695,35812,55779,42086,51948,19338,18261
2018,OH,2,557971,267271,290700,734712,626756,81312,17646,15103,509459,101219,63344,734712,43138,100441,92547,94643,53946,48355,567593,544856,119527,298409,21686,12865,29406,28235,35787,54072,37608,44023,15974,18753
2018,OH,3,560963,262190,298773,812264,435291,303377,46153,57550,521203,100151,52444,812264,60487,150808,103426,94212,44561,44191,612979,569239,84005,316961,27353,15458,34158,36618,49763,63748,34827,37104,9981,7951
2018,OH,4,542874,269636,273238,707219,637111,47371,11191,27388,483517,58340,33020,707219,46480,81639,84631,91490,49429,52876,550176,520188,123452,277353,16826,11259,28087,26723,41640,57559,37721,39521,11384,6633
2018,OH,5,549171,265489,283682,717088,654248,29153,13515,37722,488734,79349,52719,717088,45499,82549,83745,89817,50512,51599,556664,523055,130512,289660,15166,11659,24055,29575,37258,56912,40842,47191,14096,12906
2018,OH,6,545803,271382,274421,694694,658447,23584,6099,6563,494829,52853,30975,694694,38357,76807,79741,90980,54245,54024,548138,525322,139032,275828,19766,18049,33656,33231,38696,48639,37281,31005,8626,6879
2018,OH,7,557024,267916,289108,734091,677610,40760,6529,18719,501895,66952,40254,734091,43309,85302,86962,93144,51256,50165,562727,534470,135066,285123,15589,12829,29368,28135,40235,54249,37514,44194,13202,9808
2018,OH,8,546406,263947,282459,731637,640979,57640,20929,26611,486651,78396,41419,731637,52899,83093,86756,94400,50777,48195,562030,526702,123430,282277,16853,10406,25604,28426,43419,51821,36717,41711,15535,11785
2018,OH,9,545749,263532,282217,716235,533397,138141,16332,84049,491175,72986,39804,716235,50947,108248,81725,91029,49466,48358,559047,533073,112349,303955,29632,18785,37212,36207,43953,55476,34368,30437,8857,9028
2018,OK,1,565812,270452,295360,803029,578684,87994,29609,94133,532697,108977,52564,803029,49462,114259,103070,95780,50933,48653,601846,572234,120002,310290,20008,13453,29616,30344,44826,56150,40215,41073,16218,18387
2018,OK,2,564213,275370,288843,747632,494182,34544,6153,40658,506693,59150,28972,747632,46386,88728,86750,89991,51513,48170,573557,542853,141541,284540,26112,20568,39250,32476,42200,50241,29943,28417,8079,7254
2018,OK,3,571661,285869,285792,778026,617671,40069,14499,80140,508943,80065,36908,778026,56378,100241,96039,88266,49743,48750,592156,550244,125904,280204,18982,12142,31541,28760,39209,55378,36063,36827,11841,9461
2018,OK,4,589702,291854,297848,791927,591941,73010,26379,73895,521913,81084,51599,791927,59965,112996,101594,91062,52550,45450,607573,566196,118261,296883,18290,13144,26069,29975,43501,59234,39311,42566,14501,10292
2018,OK,5,561277,266722,294555,822465,563428,129396,34994,140253,537367,105294,63548,822465,54176,126512,104624,93914,51449,46975,611627,579041,113893,313393,22057,16774,32761,33828,45673,58582,37251,35197,13674,17596
2018,OR,1,606198,294448,311750,858910,682996,25952,91685,128145,597355,155146,99278,858910,52135,126683,124144,112000,53057,53657,669145,640803,127814,330630,12180,8709,21573,25253,38979,52316,44182,65371,30400,31667
2018,OR,2,619186,305421,313765,831343,752017,9759,18260,118199,590276,96340,57183,831343,45319,102933,97713,101256,52508,62428,653071,625339,173438,332236,20548,15178,34446,32102,47927,64735,46684,40889,15385,14342
2018,OR,3,627716,309299,318417,841456,665732,56189,82061,97391,613590,155498,99846,841456,48144,152315,137241,109840,52407,47536,680020,652644,114251,331954,18423,11731,25133,25140,37444,55179,45625,58543,26597,28139
2018,OR,4,638548,313807,324741,814998,708868,13714,32041,66962,571109,95433,60087,814998,66665,100485,94330,90628,54793,57514,663509,622345,173359,331882,20635,18303,34703,35679,46837,69034,41249,39105,14170,12167
2018,OR,5,606523,295492,311031,844006,705370,16449,33814,145700,580050,118773,64959,844006,52724,110239,103405,105756,54467,55434,652380,623009,150749,313268,15243,11995,24268,28254,39444,56368,44533,49933,20236,22994
2018,PA,1,544860,264421,280439,713685,610837,36816,51418,41311,511027,127012,85422,713685,41860,81039,83560,100936,62172,51369,569027,545668,131951,271426,8150,6689,16083,17784,23435,44467,36465,50658,29698,37997
