year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,College Graduate"
2020,CA,17,212137,85199,297336,1,d,454565,232883,221682,790519,218288,21713,466650,127553,572018,173723,170382,790519,44563,153782,121770,107456,51536,43488,634610,610039,93986,264673,6216,4047,7784,7959,11654,25685,22124,49039,40535,89630,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,18,344127,0,344127,1,d,486648,235472,251176,753806,471578,22217,213334,119314,528134,164645,182815,753806,37327,99854,106443,107966,47344,46249,581645,558888,120278,271858,6636,6004,7097,9754,16108,25753,24599,40395,31925,103587,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,19,224385,88642,313027,1,d,470847,237269,233578,737535,346098,29967,250777,287932,508258,120840,67909,737535,50063,114285,102408,97337,47169,42028,575395,550315,105031,228533,5729,6417,10944,12884,16525,29264,24713,40606,29545,51906,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,2,294435,0,388755,1,d,531039,258428,272611,708434,565797,20277,41582,128719,514776,137892,81768,708434,37856,76151,85098,91413,48139,56146,572333,544663,157829,285860,11477,15413,17849,19869,30776,39190,34139,44852,24248,48047,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,20,236896,71658,308554,1,d,446278,221708,224570,741838,431723,26141,57738,401455,475688,83336,57992,741838,58383,100315,95866,84416,43414,43124,562875,520263,108553,231132,7769,6143,18307,15925,24562,33956,33454,41791,20269,28956,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,21,84406,85928,170334,1,d,376921,199204,177717,729460,518642,28577,27848,549049,424849,32602,12707,729460,59430,118432,89699,83019,35212,31591,506393,472364,66896,196617,14809,9569,28196,25228,27570,36056,21761,20236,8351,4841,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,22,0,315139,315139,1,r,485479,234418,251061,768917,507640,33004,77421,388738,477908,76363,40953,768917,50821,114355,102455,82940,42325,38463,548233,520766,97370,250996,12842,9103,16938,23352,31412,45723,34221,41664,20908,14833,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,23,115896,190222,306118,1,r,499637,249899,249738,741557,535011,60526,50088,301731,482820,72822,33957,741557,44684,110792,97542,83363,43456,43984,547315,517368,103683,247660,11974,16924,23182,19902,27816,41577,28131,41030,21476,15648,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,24,212564,149781,362345,1,d,510335,251419,258916,737443,592003,20586,48925,272767,476471,102887,67292,737443,77940,93435,83346,78540,45189,44378,589319,535291,131583,257087,12628,7778,17197,16309,31590,40837,33672,45871,21344,29861,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,25,169305,169638,338943,1,r,490670,243942,246728,718949,482656,79777,73600,287815,469409,87885,44629,718949,45770,89641,92773,100426,49786,45803,535693,503296,90980,221082,9396,5342,13427,12731,22581,34840,30790,41545,24131,26299,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,26,208856,135877,344733,1,d,483010,234217,248793,725535,588465,21695,60635,335047,491060,108572,64188,725535,47338,97345,90720,91061,48028,46118,558343,528892,117788,227406,7070,4449,11874,12497,21114,32210,34450,45529,26445,31768,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,27,221411,95907,317318,1,d,482244,230040,252204,712783,272974,35554,297118,198455,524931,142726,98030,712783,40235,105693,93284,101243,51251,46435,580109,557601,127025,243697,11229,7049,12916,13004,18054,39402,31806,46341,26797,37099,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,28,244271,91928,336199,1,d,489048,235707,253341,693299,465624,27664,123068,165802,541874,172130,88450,693299,34652,136814,110635,90660,48126,41823,586485,571217,113816,295486,18350,15999,23802,19306,29491,41648,35175,50486,22664,38565,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,29,210944,0,210944,1,d,416537,202354,214183,717659,417841,35307,62135,481031,480197,83490,23594,717659,54394,120669,102980,92911,43594,37418,554902,526398,82625,211871,11760,11815,19073,17342,27352,39347,27717,31967,12754,12744,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,3,176036,145941,321977,1,d,522479,260030,262449,755811,519095,61648,108496,228566,492041,83536,50419,755811,63928,108504,94206,87762,44330,45149,582855,543452,112090,255155,14167,10517,14203,19496,28023,43885,33753,45260,24142,21709,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
2020,CA,30,240038,105426,345464,1,d,529032,252240,276792,764062,470231,45441,116380,223940,559906,164684,88611,764062,43782,116171,106197,114027,49677,50061,620631,596214,123773,282925,11256,9918,17163,16946,25965,39378,35150,52615,28145,46389,-9,20,15,9,-11,12,19,-7,12,-10,35,-3,26
