year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-29","Age,30-39","Age,40-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Black","Race,Latino","Race,Asian","Race,Other","Education,HS or less","Education,College Graduate","Education,Postgraduate"
2016,CA,13,293117,29754,322871,1,d,518329,246921,271408,755243,315788,153448,184024,159479,538034,139750,113953,755243,52519,137138,110698,95385,46733,44019,612963,581438,104061,287921,18342,15477,21873,21066,26899,42442,32999,45269,25879,37675,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,14,231630,54817,286447,1,d,492515,239064,253451,749041,332808,29045,284407,172550,539090,158041,98192,749041,43760,110173,108313,108148,48804,48609,598658,575844,115043,253163,7330,7456,11847,11548,18083,31967,32058,46427,28978,57469,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,15,198578,70619,269197,1,d,478329,232338,245991,769371,360658,45153,284368,177275,533101,145648,94204,769371,43953,108854,112501,118110,52759,42749,591486,569106,98128,250240,8991,5641,11093,10122,19717,31265,30200,49581,33566,50064,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,16,97473,70483,167956,1,d,396564,189965,206599,730141,423478,51939,74882,439301,427446,34442,17542,730141,59588,113682,86643,81521,40592,31526,509931,475016,73482,210616,19682,17441,31711,24120,29687,35044,20688,19217,7518,5508,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,17,233192,0,233192,0,d,437027,221951,215076,774647,222446,28699,441021,127633,545285,166589,144339,774647,44887,143789,123927,106146,45916,36952,607635,581404,88555,257515,7016,6303,9141,11956,14807,27066,26801,54700,40401,59324,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,18,230460,93470,323930,1,d,477984,232245,245739,739012,457582,21317,196367,125543,521738,156598,164407,739012,40359,99420,101482,111173,51661,44621,579064,554805,113381,268446,10165,6983,13263,11173,16789,26758,23718,45019,31713,82865,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,19,181802,64061,245863,1,d,468358,234670,233688,762005,326934,30334,234221,307779,504580,118685,60598,762005,56276,112298,103102,107862,47504,41636,577690,549091,92178,226671,7641,7980,14326,11983,19898,33120,24492,43284,27097,36850,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,2,254194,76572,330766,1,d,521949,255156,266793,716202,570621,17197,40222,127270,515218,128218,81794,716202,39661,76574,88847,99068,53694,54202,573596,547611,142833,283904,15751,15027,24286,23900,31632,44000,29956,40332,22091,36929,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,20,180980,74811,255791,0,d,430412,211819,218593,743764,471702,20106,54672,393913,470967,77389,53823,743764,61785,102685,94628,89882,45444,41988,561485,516157,96340,227623,10545,7811,18871,19872,25979,40061,32068,37049,16228,19139,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,21,57282,75126,132408,1,r,353366,190629,162737,726385,508060,32755,23115,548582,415361,22020,10639,726385,57646,107368,95268,85201,34014,30940,495607,461636,62570,187890,15512,13322,24349,26426,29911,33829,20431,15305,5655,3150,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
