year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_nonwhite,ed_pop,ed_4y,ed_no4y,age_pop,age_18_34,age_35_49,age_50_64,age_65_plus,inc_pop,inc_lt_50,inc_50_100,inc_100_plus,"Gender,Male","Gender,Female","Age,18-34","Age,35-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Non-White","Education,HS or less","Education,4yrDegree"
2012,CA,45,121814,171417,293231,0,r,229413,112986,116427,724219,465988,258231,485734,253084,232650,724219,118056,162575,140952,91787,253921,67300,72021,114600,-8,11,18,0,-4,-11,20,-6,-14,-20,45,3,1
2012,CA,46,95694,54121,149815,0,r,338038,168971,169067,717993,432443,285550,426508,71592,354916,717993,154431,151074,104566,57305,181566,86411,59349,35806,-8,11,18,0,-4,-11,20,-6,-14,-20,40,3,-1
2012,CA,47,130093,99919,230012,0,d,270694,132844,137850,722624,405090,317534,473451,144955,328496,722624,133358,154523,134659,85537,246195,113144,72746,60305,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,0
2012,CA,48,113358,177144,290502,0,r,214138,106115,108023,717809,494190,223619,506949,218539,288410,717809,131773,152866,147199,107211,261678,84191,74518,102969,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,CA,49,114893,159725,274618,1,r,304508,153916,150592,714647,549135,165512,472880,190959,281921,714647,133684,145172,135953,93140,247703,91603,68736,87364,-8,11,18,0,-4,-11,20,-6,-14,-20,43,3,1
2012,CA,5,202872,69545,272417,0,d,322316,157294,165022,715809,488255,227554,490862,143135,347727,715809,127625,138398,151801,105408,255226,105881,79757,69588,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,0
2012,CA,50,83455,174838,258293,0,r,312171,151783,160388,721337,581165,140172,467845,118007,349838,721337,120385,144073,140245,91358,240266,107694,73861,58711,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,0
2012,CA,51,113934,45464,159398,0,d,301176,153748,147428,738513,481102,257411,436667,55552,381115,738513,152013,141890,117480,70561,196644,118310,54335,23999,-8,11,18,0,-4,-11,20,-6,-14,-20,43,3,-1
2012,CA,52,151451,144459,295910,0,r,244264,122565,121699,704272,488857,215415,487394,273344,214050,704272,163477,146635,129737,90110,268528,82810,77776,107942,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,2
2012,CA,53,164825,103482,268307,1,d,253621,128521,125100,725892,476957,248935,483038,166373,316665,725892,167576,147891,121743,84334,258604,110495,83350,64759,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,0
2012,CA,6,160667,53406,214073,0,d,256891,125112,131779,714536,382125,332411,458231,116014,342217,714536,159679,139395,123739,79061,261139,139035,77084,45020,-8,11,18,0,-4,-11,20,-6,-14,-20,52,3,0
2012,CA,7,141241,132050,273291,0,d,230900,114009,116891,719962,465443,254519,477393,148851,328542,719962,122073,149033,137549,93676,253645,104326,79131,70188,-8,11,18,0,-4,-11,20,-6,-14,-20,51,3,0
2012,CA,8,0,179644,179644,0,d,284543,142025,142518,708578,510793,197785,430151,62336,367815,708578,118715,134077,124450,83352,222911,125509,63172,34230,-8,11,18,0,-4,-11,20,-6,-14,-20,48,3,1
2012,CA,9,118373,94704,213077,0,d,265099,130880,134219,724666,404615,320051,441382,88527,352855,724666,120603,143411,126867,78477,223576,105209,67138,51229,-8,11,18,0,-4,-11,20,-6,-14,-20,47,3,-1
2012,CO,1,237579,93217,348210,1,d,384109,191784,192325,750153,581901,168252,519119,230695,288424,750153,186350,157102,131676,78997,318312,152273,92358,73681,-8,11,18,0,-4,-11,20,-6,-14,-20,49,3,1
2012,CO,2,234758,162639,421580,1,d,311712,155468,156244,743592,672359,71233,494642,259212,235430,743592,139929,150742,158218,87715,297209,115211,88278,93720,-8,11,18,0,-4,-11,20,-6,-14,-20,44,3,1
