year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2012,AZ,1,722706,366677,356029,541578,56.5,722706,466617,21451,16226,154214,460279,66498,40136,56508,89065,84350,92709,47142,43442,504661,103571,239811,22043,13916,28582,26626,37320,47816,26452,24177,6254,6625
2012,AZ,2,727099,362079,365020,573977,54.2,727099,587594,43846,27907,190816,506731,93730,69610,50266,96327,87287,93267,46063,47920,546761,135867,300327,26031,19800,36002,35173,42463,55184,33035,32437,11261,8941
2012,AZ,3,719765,355085,364680,507863,59.3,719765,524877,41558,16621,457916,411801,43200,21437,66573,102907,86597,84864,37461,32448,464325,67524,225120,24698,16127,29189,28252,36641,42627,23712,17101,3799,2974
2012,AZ,4,720881,364996,355885,569785,61.6,720881,630472,14808,12113,126386,518803,62220,34566,37309,74276,77891,85193,50020,58388,550780,173035,284045,22633,16021,39151,37157,49019,56376,27834,24541,7413,3900
2012,AZ,5,737326,359155,378171,541963,50.1,737326,635666,27128,35306,132596,486159,106482,53881,39528,90847,99436,98537,39422,42539,515243,115378,262874,11779,10047,21437,24309,35528,50891,36817,43870,14614,13582
2012,AZ,6,722561,357809,364752,572284,52.3,722561,621351,25527,38440,104007,508381,129456,81545,48949,95477,96875,108303,50601,45717,548295,111408,296486,17293,10649,29674,28679,40635,49739,37120,44445,17528,20724
2012,AZ,7,735599,371185,364414,504217,78.1,735599,506305,77651,20445,468993,416310,38614,21091,61705,114035,107719,87252,34259,25460,465268,47585,221027,30095,20236,36908,30139,34948,31896,17026,13203,3774,2802
2012,AZ,8,730846,354877,375969,549088,42.1,730846,624989,41363,31301,139701,496758,89578,47970,35538,81451,94419,93768,43097,41665,524367,142358,271067,11533,9913,25806,29968,42251,54813,36726,41268,11703,7086
2012,AZ,9,736472,368824,367648,572915,60.1,736472,566328,47456,46017,201475,475242,105980,64592,76249,131529,96010,93391,45593,34359,536216,74360,291411,23282,17679,33161,31009,43349,54075,32063,34336,12382,10075
2012,CA,1,711354,359727,351627,563359,46.6,711354,620859,17054,25583,91706,488713,72588,34607,54702,79541,76115,96905,53775,54041,533489,128336,273025,17977,18658,37015,33493,41883,49259,29396,29415,9779,6150
2012,CA,10,713348,353434,359914,515835,57.1,713348,526630,29790,58507,294221,444010,50852,23679,51478,96385,94547,96286,39424,37063,483624,80305,225928,13677,14426,25128,24207,35775,40517,25696,28748,10917,6837
2012,CA,11,726253,355233,371020,557129,49.9,726253,469187,79387,111281,185213,494136,124625,80464,46057,91971,94333,110116,49848,42839,531082,105029,263384,12768,11300,20559,19558,29695,45643,29405,41964,22494,29998
2012,CA,12,717042,366611,350431,625209,42.5,717042,371702,50259,245535,104832,568665,192228,121323,45357,166849,118945,96732,43440,42441,607301,100258,313416,25201,22197,26354,18588,25603,42442,31518,48766,30457,42290
